Counter:45,dude:0.04
Counter:46,dude:0.05
Counter:47,dude:0.05
Counter:48,dude:0.05
Counter:49,dude:0.05
Counter:50,dude:0.05
Counter:51,dude:0.05
Counter:52,dude:0.05
Counter:53,dude:0.05
Counter:54,dude:0.05
Counter:55,dude:0.05
Counter:56,dude:0.06
Counter:57,dude:0.06
Counter:58,dude:0.06
Counter:59,dude:0.06
Counter:60,dude:0.06
Counter:61,dude:0.06
Counter:62,dude:0.06
Counter:63,dude:0.06
Counter:64,dude:0.06
Counter:65,dude:0.06
Counter:66,dude:0.07
Counter:67,dude:0.07
Counter:68,dude:0.07
Counter:69,dude:0.07
Counter:70,dude:0.07
Counter:71,dude:0.07
Counter:72,dude:0.07
Counter:73,dude:0.07
Counter:74,dude:0.07
Counter:75,dude:0.07
Counter:76,dude:0.08
Counter:77,dude:0.08
Counter:78,dude:0.08
Counter:79,dude:0.08
Counter:80,dude:0.08
Counter:81,dude:0.08
Counter:82,dude:0.08
Counter:83,dude:0.08
Counter:84,dude:0.08
Counter:85,dude:0.08
Counter:86,dude:0.09
Counter:87,dude:0.09
Counter:88,dude:0.09
Counter:89,dude:0.09
Counter:90,dude:0.09
Counter:91,dude:0.09
Counter:92,dude:0.09
Counter:93,dude:0.09
Counter:94,dude:0.09
Counter:95,dude:0.09
Counter:96,dude:0.10
Counter:97,dude:0.10
Counter:98,dude:0.10
Counter:99,dude:0.10
Counter:100,dude:0.10
Counter:101,dude:0.10
Counter:102,dude:0.10
Counter:103,dude:0.10
Counter:104,dude:0.10
Counter:105,dude:0.10
Counter:106,dude:0.11
Counter:107,dude:0.11
Counter:108,dude:0.11
Counter:109,dude:0.11
Counter:110,dude:0.11
Counter:111,dude:0.11
Counter:112,dude:0.11
Counter:113,dude:0.11
Counter:114,dude:0.11
Counter:115,dude:0.11
Counter:116,dude:0.12
Counter:117,dude:0.12
Counter:118,dude:0.12
Counter:119,dude:0.12
Counter:120,dude:0.12
Counter:121,dude:0.12
Counter:122,dude:0.12
Counter:123,dude:0.12
Counter:124,dude:0.12
Counter:125,dude:0.12
Counter:126,dude:0.13
Counter:127,dude:0.13
Counter:128,dude:0.13
Counter:129,dude:0.13
Counter:130,dude:0.13
Counter:131,dude:0.13
Counter:132,dude:0.13
Counter:133,dude:0.13
Counter:134,dude:0.13
Counter:135,dude:0.13
Counter:136,dude:0.14
Counter:137,dude:0.14
Counter:138,dude:0.14
Counter:139,dude:0.14
Counter:140,dude:0.14
Counter:141,dude:0.14
Counter:142,dude:0.14
Counter:143,dude:0.14
Counter:144,dude:0.14
Counter:145,dude:0.14
Counter:146,dude:0.15
Counter:147,dude:0.15
Counter:148,dude:0.15
Counter:149,dude:0.15
Counter:150,dude:0.15
Counter:151,dude:0.15
Counter:152,dude:0.15
Counter:153,dude:0.15
Counter:154,dude:0.15
Counter:155,dude:0.15
Counter:156,dude:0.16
Counter:157,dude:0.16
